Feat Name|Prerequisite|Description
A Thousand Faces|13th-level Druid|ask staff
Able Learner|-|+1 bonus to all skills
Abundant Step|12th-level Monk|ask staff
Acrobatic|-|+2 bonus on Acrobatics and Fly checks. Fly is not implemented yet.
Acrobatic Charge|6th-level Duelists|can charge in situations when others cannot
Alertness|-|+2 bonus on Perception and Sense Motive checks.
Animal Affinity|-|+2 bonus on Handle Animal and Ride checks.
Animal Companion|4th-level Ranger|ask staff
Animate Dead|2nd-level Death Master|allows innate use of animate dead spell 3x per day.
Armor Proficiency (Heavy)|Armor Proficiency  (Medium)|No penalties on attack rolls while wearing heavy armor
Armor Proficiency (Light)|-|No penalties on attack rolls while wearing light armor
Armor Proficiency (Medium)|Armor Proficiency (Light)|No penalties on attack rolls while wearing medium armor
Armor Proficiency (Shield)|-|No penalties on attack rolls when using a shield
Armor Proficiency (Tower Shield)|Armor Proficiency (Shield)|No penalties on attack rolls when using a tower shield
Armor Skin|Epic level|Increases natural armor by 1
Armor Specialization (heavy)|Armor Proficiency (Heavy), Base attack bonus +12|DR 2/- when wearing heavy armor
Armor Specialization (light)|Armor Proficiency (Light), Base attack bonus +12|DR 2/- when wearing light armor
Armor Specialization (medium)|Armor Proficiency (Medium), Base attack bonus +12|DR 2/- when wearing medium armor
Augment Summoning|Spell Focus (conjuration)|Summoned creatures gain +4 Str and Con.
Aura of Courage|3rd-level Paladin|+2 bonus to fear saves for group members
Automatic Quicken Spell|epic level, spellcraft 30 ranks, ability to cast level 9 arcane or divine spells|You can cast level 0, 1, 2 & 3 spells automatically as if quickened.  Every addition rank increases the max spell level by 3.
Available Favored Enemy Choice(s)|1st-level Ranger|ask staff
Bardic Knowledge|1st-level Bard|ask staff
Bardic Music|1st-level Bard|ask staff
Bleeding Attack|Rogue Talent|causes bleed damage on living targets who are hit by sneak attack.
Blind-Fight|-|reduced penalties when fighting blind oragainst invisible opponents
Blindsense|5th-level Dragon Disciple|ask staff
Bloodline (Abyssal)|1st-level Sorcerer|You gain claws which become more powerful as you grow in power.
Bloodline (Arcane)|1st-level Sorcerer|ask staff
Bloodline (Fey)|1st-level Sorcerer|ask staff
Bone Armor|1st-level Death Master|allows creation of bone armor and 10%% arcane spell failure reduction in bone armor per rank.
Branding|3rd-level Artisan|All items made carry the artisan's brand
Bravery|2nd-level Fighter|A fighter gains a +1 bonus on Will
 saves against fear. This bonus increases by +1 for every four levels beyond 2nd
Breath Weapon|3rd-level Dragon Disciple|ask staff
Brew Potion|Caster level 3rd|Create magic potions.
Call Mount|5th-level Paladin|Allows you to call a paladin mount
Camouflage|13th-level Ranger|ask staff
Canny Defense|1st-level Duelist|add int bonus (max class level) to ac when useing one light weapon and no shield
Charisma Boost|10th-level Dragon Disciple|ask staff
Claws and Bite|2nd-level Dragon Disciple|ask staff
Cleave|Power Attack|Make an additional attack if the first one hits.
Combat Casting|-|+4 bonus on concentration checks for defensive casting
Combat Challenge|Diplomacy, Intimidate or Bluff 5 ranks|allows you to make a mob focus their attention on you
Combat Expertise|Int 13|Trade attack bonus for AC bonus
Combat Reflexes|-|Make additional attacks of opportunity
Combat Style|ask staff|ask staff
Combat Style Master|ask staff|ask staff
Constitution Boost|6th-level Dragon Disciple|ask staff
Countersong|1st-level Bard|ask staff
Craft Magical Arms and Armor|Caster level 5th|Create magic armors, shields, and weapons.
Craft Rod|Caster level 9th|Create magic rods
Craft Staff|Caster level 11th|Create magic staves
Craft Wand|Caster level 5th|Create magic wands
Craft Wonderous Item|Caster level 3rd|Create magic wondrous items
Crippling Critical|10th-level Duelist|allows your criticals to have random additional effects
Crippling Strike|10th-level Rogue|Chance to do 2 strength damage with a sneak attack.
Critical Focus|Base attack bonus +9|+4 bonus on attack rolls made to confirm critical hits
Damage Reduction|7th-level Barbarian|1/- damage reduction per rank of feat, 3/- for epic
Darkvision|10th-level Dragon Disciple|ask staff
Death Attack|1st-level Assassin|Chance to kill a target with sneak attack or Paralysis after 3 rounds of hidden study.
Deceitful|-|+2 bonus on Bluff and Disguise checks
Defensive Roll|10th-level Rogue|can roll reflex save vs damage dealt when hp is to be reduced below 0 to take half damage instead
Defensive Stance|1st-level Dwarven Defender|Allows you to fight defensively with bonuses to ac and stats.
Deflect Arrows|Dex 13, Improved Unarmed Strike|Avoid one ranged attack per round
Deft Hands|-|+2 bonus on Disable Device and Sleight of Hand checks
Detect Evil|1st-level Paladin|able to detect evil alignments
Detect Good|ask staff|ask staff
Diamond Body|11th-level Monk|immune to disease
Diamond Soul|13th-level Monk|spell resistance equal to class level + 10
Diehard|Endurance|will stay alive and conscious until -10 hp or lower
Divine Bond|5th-level Paladin|bonuses to attack and damage rolls when active
Divine Grace|2nd-level Paladin|charisma bonus added to all saving throw checks
Divine Health|3rd-level Paladin|immune to disease
Divine Might|turn undead, power attack, cha 13, str 13|Add cha bonus to damage for number of rounds equal to cha bonus
Divine Shield|turn undead, power attack, cha 13, str 13|Add cha bonus to armor class for number of rounds equal to cha bonus
Divine Vengeance|turn undead, extra turning|Add 2d6 damage against undead for number of rounds equal to cha bonus
Dodge|Dex 13|+1 dodge bonus to AC.
Draconic Crafting|20th-level Artisan|All magical items created gain higher bonuses w/o increasing level
Dragon Apotheosis|10th-level Dragon Disciple|ask staff
Dragon Mount Boost|dragon rider prestige class|gives +18 hp, +10 ac, +1 hit and +1 damage per rank in the feat
Dragon Mount Breath|dragon rider prestige class|allows you to use your dragon mount's breath weapon once per rank, per 10 minutes.
Dwarven Crafting|15th-level Artisan|All weapons and armor made have higher bonuses
Elaborate Parry|7th-level Duelist|when fighting defensively or total defense, gains +1 dodge ac per class level
Elemental Immunity|10th-level Dragon Disciple|ask staff
Elven Crafting|11th-level Artisan|All equipment made is 50%% weight and uses 50%% materials
Empower Spell|Caster level 1st|all variable numerical effects of a spell are increased by one half
Empowered Magic|Caster level 1st|+1 to all spell dcs
Empty Body|19th-level Monk|50%% concealment for several rounds
Endurance|-|+4 to con and skill checks made to resist fatigue and 1 extra move point per level
Energy Resistance|-|reduces all energy related damage by 3 per rank
Enhance Arrow (Aligned)|arcane archer level 10|+1d6 holy/unholy damage with bows against different aligned creatures.
Enhance Arrow (Distance)|arcane archer level 6|doubles range increment on weapon.
Enhance Arrow (Elemental Burst)|arcane archer level 8|+2d10 on critical hits with bows
Enhance Arrow (Elemental)|arcane archer level 4|+1d6 elemental damage with bows
Enhance Arrow (Magic)|arcane archer level 1|+1 to hit and damage with bows per rank
Enhanced Mobility|3rd-level Duelist|ask staff
Enhanced Spell Damage|Caster level 1st|+1 spell damage per die rolled
Enlarge Spell|ask staff|ask staff
Epic Combat Challenge|20 ranks in diplomacy, intimidate or bluff, greater combat challenge|as improved combat challenge, but both regular challenges and challenge all are minor actions
